"","OBJECTID","noxn"
"323","NZL00033",0.754233333333333
"324","NZL00034",0.192775
"325","NZL00035",0.275025
"326","NZL00036",0.197633333333333
"327","NZL00037",0.0524666666666667
"328","NZL00038",0.0687166666666667
"329","NZL00039",0.419058333333333
"330","NZL00040",0.063675
"331","NZL00041",0.00489166666666667
"332","NZL00042",0.0946833333333333
"333","NZL00043",0.14275
"334","NZL00044",0.275
"335","NZL00045",0.047075
"336","NZL00046",0.389266666666667
"337","NZL00047",0.527416666666667
"338","NZL00048",0.0405833333333333
"339","NZL00049",0.172991666666667
"340","NZL00050",0.0483583333333333
"341","NZL00051",0.0102666666666667
"342","NZL00052",0.115383333333333
"343","NZL00053",0.0260166666666667
"344","NZL00054",0.06015
"345","NZL00055",0.123075
"346","NZL00056",0.0367583333333333
"347","NZL00057",0.0344333333333333
"348","NZL00058",0.0209583333333333
"349","NZL00059",0.3778
"350","NZL00060",0.05885
"351","NZL00061",0.088075
"352","NZL00062",0.449983333333333
"353","NZL00063",0.51545
"354","NZL00064",0.386308333333333
"355","NZL00065",0.00956666666666667
"356","NZL00066",0.019475
"357","NZL00067",0.0457833333333333
"358","NZL00068",0.0410833333333333
"359","NZL00069",0.024475
"360","NZL00070",0.0240333333333333
"361","NZL00071",0.0419916666666667
"362","NZL00072",0.023
"363","NZL00073",0.0128333333333333
"364","NZL00074",0.0409083333333333
"365","NZL00075",0.0968833333333333
"366","NZL00076",1.17215
"367","NZL00077",0.240683333333333
"368","NZL00078",0.458441666666667
"369","NZL00079",1.07185833333333
"370","NZL00080",0.21345
"371","NZL00081",0.00725
"372","PAK00003",1.86
"373","PAK00004",1.5
"374","PAK00005",1.62
"375","PAK00006",2.78
"376","POL00001",2.15920833333333
"377","POL00002",1.6072
"378","POL00003",1.6515
"379","POL00004",3.36791666666667
"380","POL00005",3.14284615384615
"381","POL00006",2.17592592592593
"382","THA00008",0.303916666666667
"383","THA00009",0.354
"384","THA00010",0.2655
"385","TUR00005",0.147894736842105
"386","TUR00006",0.277619047619048
"387","TUR00007",1.86188888888889
"388","TUR00008",0.428
"389","TUR00009",0.1405
"390","TUR00010",2.2773
"391","TUR00011",2.24945454545455
"392","TUR00012",0.61725
"393","TUR00014",0.226666666666667
"394","VNM00001",0.421916666666667
"395","VNM00002",0.315818181818182
"396","VNM00003",0.263583333333333
"397","VNM00004",0.406333333333333
"398","VNM00005",0.237583333333333
"399","ZAF00001",0.0696444444444444
"400","ZAF00002",0.431528301886792
"401","ZAF00003",0.0774545454545455
"402","ZAF00004",0.621520833333333
"403","ZAF00005",4.59578
"404","ZAF00006",0.131111111111111
"405","ZAF00007",0.289444444444444
"406","ZAF00008",0.312416666666667
"407","ZAF00009",0.523269230769231
"408","ZAF00010",0.293214285714286
"409","ZAF00012",0.207090909090909
"410","ZAF00013",0.327259259259259
"411","ZAF00014",0.3438
"412","ZAF00015",0.9407
"413","ZAF00016",0.171375
"414","ARG00001",0.285555555555556
"415","ARG00012",0.320222222222222
"416","CAN00031",0.334
"417","CAN00037",0.448
"418","CAN00038",1.19
"419","CAN00039",0.34
"420","CAN00040",0.373
"421","CAN00041",0.274
"422","CAN00042",0.263
"423","CAN00043",0.493
"424","IND00001",0.439
"425","IND00002",0.913666666666667
"426","IND00004",0.528375
"427","IND00005",0.435375
"428","IND00007",0.743777777777778
"429","IND00009",0.6
"430","IND00010",0.86
"431","IND00011",0.886777777777778
"432","IND00012",1.343
"433","IND00013",0.45
"434","IND00014",1.87
"435","IND00017",0.372857142857143
"436","IND00018",0.192857142857143
"437","IND00020",0.125166666666667
"438","IND00021",0.159571428571429
"439","IND00025",0.143333333333333
"440","IND00028",0.932777777777778
"441","IND00030",0.52
"442","IND00031",0.3235
"443","IND00036",0.897222222222222
"444","IND00037",0.905555555555556
"445","IND00039",0.55
"446","IND00042",0.192142857142857
"447","IND00043",0.335571428571429
"448","IND00044",0.246666666666667
"449","IND00045",0.660545454545455
"450","IND00046",0.386666666666667
"451","IND00047",0.282222222222222
"452","IND00050",0.236545454545455
"453","IND00051",0.497090909090909
"454","IND00053",1.7
"455","IND00054",2.18166666666667
"456","IND00055",0.501
"457","IND00056",2.91828571428571
"458","IND00062",1.83189166666667
"459","IND00063",0.301166666666667
"460","IND00064",0.47
"461","IND00065",0.542
"462","IND00066",0.339
"463","IND00067",2.384
"464","IND00068",0.81225
"465","IND00069",0.608918181818182
"466","IND00070",0.5528
"467","IND00071",0.176
"468","IND00072",0.45055
"469","JPN00001",1
"470","JPN00003",2.06916666666667
"471","JPN00007",1.64083333333333
"472","JPN00010",0.425
"473","JPN00011",0.485
"474","JPN00013",1.16916666666667
"475","JPN00014",0.435833333333333
"476","JPN00015",0.681666666666667
"477","JPN00016",0.019
"478","JPN00017",0.639166666666667
"479","JPN00019",0.0991666666666667
"480","JPN00020",0.08
"481","JPN00021",0.683333333333333
"482","JPN00022",0.208333333333333
"483","JPN00023",0.716666666666667
"484","JPN00025",0.388916666666667
"485","JPN00026",0.19575
"486","JPN00027",0.157
"487","JPN00028",1.23416666666667
"488","KHM00001",0.151833333333333
"489","KHM00002",0.186083333333333
"490","KHM00003",0.151916666666667
"491","KHM00004",0.126666666666667
"492","KHM00006",0.164583333333333
"493","KHM00011",0.16475
"494","LAO00001",0.1685
"495","LAO00002",0.223833333333333
"496","LAO00003",0.212333333333333
"497","LAO00020",0.157583333333333
"498","MAR00001",1.06333333333333
"499","MAR00006",0.929090909090909
"500","MAR00008",0.527272727272727
"501","NZL00005",0.02815
"502","NZL00006",0.30285
"503","NZL00007",0.119208333333333
"504","NZL00008",0.470041666666667
"505","NZL00009",0.329658333333333
"506","NZL00010",0.233233333333333
"507","NZL00011",0.24185
"508","NZL00012",0.722891666666667
"509","NZL00013",0.149575
"510","NZL00014",0.264358333333333
"511","NZL00015",1.11328333333333
"512","NZL00016",0.293058333333333
"513","NZL00017",0.001225
"514","NZL00018",0.375366666666667
"515","NZL00019",0.578725
"516","NZL00020",0.119183333333333
"517","NZL00021",0.344741666666667
"518","NZL00022",0.000933333333333333
"519","NZL00023",0.224683333333333
"520","NZL00024",0.0326833333333333
"521","NZL00025",0.337925
"522","NZL00026",0.108583333333333
"523","NZL00027",2.19108333333333
"524","NZL00028",0.195275
"525","NZL00029",0.131541666666667
"526","NZL00030",0.157791666666667
"527","NZL00031",0.58385
"528","NZL00032",0.678383333333333
"529","NZL00033",0.726558333333333
"530","NZL00034",0.111966666666667
"531","NZL00035",0.182016666666667
"532","NZL00036",0.101783333333333
"533","NZL00037",0.0539166666666667
"534","NZL00038",0.0598916666666667
"535","NZL00039",0.687916666666667
"536","NZL00040",0.0705444444444444
"537","NZL00041",0.00664166666666667
"538","NZL00042",0.0974833333333333
"539","NZL00043",0.170333333333333
"540","NZL00044",0.260491666666667
"541","NZL00045",0.0433083333333333
"542","NZL00046",0.469141666666667
"543","NZL00047",0.596083333333333
"544","NZL00048",0.0435916666666667
"545","NZL00049",0.136966666666667
"546","NZL00050",0.019375
"547","NZL00051",0.0127833333333333
"548","NZL00052",0.0840166666666667
"549","NZL00053",0.03725
"550","NZL00054",0.0578083333333333
"551","NZL00055",0.116016666666667
"552","NZL00056",0.034
"553","NZL00057",0.0368833333333333
"554","NZL00058",0.019375
"555","NZL00059",0.308258333333333
"556","NZL00060",0.0794
"557","NZL00061",0.113475
"558","NZL00062",0.507491666666667
"559","NZL00063",0.95695
"560","NZL00064",0.372741666666667
"561","NZL00065",0.012325
"562","NZL00066",0.0160583333333333
"563","NZL00067",0.0678416666666667
"564","NZL00068",0.0413166666666667
"565","NZL00069",0.0248833333333333
"566","NZL00070",0.024
"567","NZL00071",0.0384
