"","OBJECTID","n_export","precip_variability","population","pigs","cattle","flash_flow","average_flow","percent_no_sanitation","proportion_urban"
"19","AUS00011",26.6879348754883,34.7041282653809,7584.0029296875,0.070352990279026,511.127194968569,0.264873683452606,31.6991539001465,0.0088476175442338,0
"20","BEL00001",8663.7451171875,13.5630683898926,11902.9921875,0,3434.94167588468,0.368111789226532,0.0891538485884666,0.514663755893707,0
"21","BEL00006",2562.65576171875,15.857741355896,9372.806640625,15467.5710708674,4396.71187024104,0.304815322160721,0.025076923891902,1.34266066551208,0
"22","BEL00007",6853.28271484375,15.0243711471558,16118.4755859375,4678.01498610276,6467.14345522182,0.275614112615585,0.017692307010293,0.514663755893707,1
"23","BEL00008",7270.203125,15.0751533508301,6573.33984375,4933.89851534454,61.7710582110565,0.30701756477356,0.00807692296802998,0.514663755893707,1
"24","BEL00010",4419.6083984375,10.790717124939,15592.46875,1158.77741460924,4783.58177200065,0.29974490404129,0.00903846137225628,1.34266066551208,1
"25","BEL00011",595.447204589844,8.6737813949585,4977.8505859375,987.750178485297,5975.44933381233,0.411686569452286,0.0238461531698704,0.514663755893707,0
"26","BEL00012",6650.75634765625,13.0117511749268,34708.21484375,1253.22552844658,2348.9576236767,0.327127665281296,0.0094615388661623,0.514663755893707,1
"27","BEL00013",1308.93957519531,16.779239654541,1515.00061035156,0,6447.4300634809,0.431414604187012,0.0541923083364964,0.514663755893707,0
"28","BEL00014",177.225799560547,16.9060344696045,27078.55859375,22983.2797885167,3429.05581696349,0.434858947992325,2.70530772209167,0.514663755893707,1
"29","BEL00015",2837.22241210938,19.7397899627686,10787.7177734375,11427.2136722087,6629.5761685685,0.443807631731033,3.22861528396606,0.514663755893707,1
"30","BEL00016",4857.12890625,17.7331275939941,3038.51318359375,2343.4936350273,1836.94986142278,0.38424351811409,0.464653849601746,0.514663755893707,0
"31","BEL00017",3314.5830078125,15.1614122390747,50402.51953125,4221.93198456215,1756.98119477552,0.412937104701996,1.90849995613098,2.12659502029419,0
"32","BEL00018",1830.28002929688,12.7791633605957,7171.12109375,39384.3983079988,5466.74648199793,0.352284789085388,0.0254999995231628,0.514663755893707,0
"33","BEL00019",1143.19128417969,15.1645021438599,67139.140625,4578.39502788221,2719.94784711412,0.382915169000626,0.0246538463979959,0.514663755893707,1
"34","BEL00020",683.595275878906,12.3494424819946,72604.6796875,344.593764034274,2462.90582939399,0.349311590194702,0.0263461545109749,0.514663755893707,1
"35","BEL00021",1486.98425292969,13.0432443618774,17605.6640625,796.358858921031,5416.48757511743,0.436943531036377,4.64696168899536,0.514663755893707,1
"36","BEL00023",194.948760986328,12.3702964782715,26748.048828125,3551.5459069767,801.635695441406,0.480256855487823,17.2157306671143,0.514663755893707,1
"37","BEL00024",289.635986328125,13.2292375564575,17784.14453125,8516.0208806474,3982.24745907922,0.285714328289032,0.00815384648740292,0.514663755893707,1
"38","BEL00025",341.446655273438,14.6294689178467,37473.65234375,9375.8183919419,10143.1101993456,0.334525942802429,0.00719230808317661,0.514663755893707,1
"39","BEL00028",5647.32275390625,17.5985794067383,12648.9990234375,33362.3382535192,8882.78414909359,0.418374806642532,1.07311534881592,0.514663755893707,0
"40","BEL00029",141.06884765625,19.9129505157471,51015.046875,8104.85856328489,4958.83280470683,0.429782092571259,0.0136538464576006,0.514663755893707,1
"41","BEL00031",4991.15185546875,19.2984085083008,14454.921875,14614.9079933317,7958.52440809698,0.341988950967789,0.0238076932728291,0.514663755893707,1
"42","BEL00050",NA,15.7799825668335,13436.6201171875,5962.6638753122,99.2327900275906,0.262926280498505,0.0183846149593592,NA,1
"43","BEL00051",109.286193847656,18.8436222076416,17428.787109375,7355.60681972737,3875.18308010901,0.486730843782425,9.90042304992676,0.514663755893707,1
"44","BEL00052",4.43320274353027,12.6765308380127,15431.779296875,40691.9418433567,6742.49372516323,0.562314629554749,229.055770874023,0.514663755893707,0
"45","BEL00053",70.3279495239258,13.7717590332031,22353.07421875,27961.9724346253,5452.55569349806,0.612880527973175,136.475967407227,0.514663755893707,1
"46","BEL00054",2808.60424804688,13.6552400588989,36518.57421875,4256.69630188543,6594.74832224268,0.340000033378601,0.00719230808317661,0.514663755893707,1
"47","BEL00055",383.776397705078,15.5460033416748,158010.4375,1961.57414112204,2879.20949345578,0.443057686090469,0.0218461528420448,0.514663755893707,1
"48","BEL00056",5217.27734375,15.4234313964844,9204.970703125,2941.97378653644,8833.04559108373,0.331666678190231,0.0153076928108931,0.514663755893707,1
"49","BEL00057",698.261962890625,13.1974077224731,72604.6796875,344.593764034274,2462.90582939399,0.528249442577362,39.4256935119629,0.514663755893707,1
"50","BEL00059",1469.7373046875,11.5829229354858,16894.96484375,3169.02735901402,3532.80405422646,0.458903580904007,5.42026901245117,0.514663755893707,0
"51","BEL00060",176.722183227539,13.5768127441406,19048.412109375,7784.90778598556,8071.79550799478,0.422099351882935,2.98034620285034,0.514663755893707,1
"52","BEL00061",1330.00036621094,12.5565538406372,72604.6796875,344.593764034274,2462.90582939399,0.308562219142914,0.00734615419059992,0.514663755893707,1
"53","BEL00062",663.824523925781,12.4233293533325,48461.08203125,946.488232880109,1617.68829615478,0.293388456106186,0.00819230824708939,0.514663755893707,1
"54","BEL00063",112.184509277344,12.2407426834106,470584.84375,0,0,0.475665658712387,7.83311557769775,0.514663755893707,1
"55","BEL00064",94.1586608886719,11.6340942382812,111435.6875,544.764264567369,2784.00731503642,0.336593329906464,0.0158846154808998,0.514663755893707,1
"56","BEL00065",3267.72119140625,11.9438982009888,111435.6875,544.764264567369,2784.00731503642,0.469772070646286,0.0364615395665169,0.514663755893707,1
"57","BEL00066",1168.98266601562,11.9427080154419,38925.22265625,1359.21774114002,2392.16174194005,0.462079107761383,5.06230783462524,0.514663755893707,1
"58","BEL00067",340.218353271484,13.0938320159912,30405.580078125,1248.21834902108,3126.07244734961,0.481979042291641,9.74253845214844,0.514663755893707,1
"59","BEL00068",2679.42333984375,12.9074077606201,17784.14453125,8516.0208806474,3982.24745907922,0.329482674598694,0.0252307690680027,0.514663755893707,1
"60","BEL00069",38.8587799072266,13.3158712387085,26718.578125,2110.66068626606,8616.21144704286,0.459249317646027,6.30823087692261,0.514663755893707,1
"61","BEL00070",854.576232910156,16.487642288208,48585.44921875,11009.2704742193,6280.57804223585,0.513620376586914,21.3473072052002,0.514663755893707,1
"62","BEL00071",2314.1318359375,18.8025798797607,17428.787109375,7355.60681972737,3875.18308010901,0.382931351661682,0.456115394830704,0.514663755893707,1
"63","BEL00072",6551.8291015625,14.6471395492554,9204.970703125,2941.97378653644,8833.04559108373,0.287812054157257,0.00753846159204841,0.514663755893707,1
"64","BEL00073",5641.31396484375,15.0829133987427,9204.970703125,2941.97378653644,8833.04559108373,0.421965330839157,0.0308846160769463,0.514663755893707,1
"65","BEL00074",3706.109375,12.9603157043457,34708.21484375,1253.22552844658,2348.9576236767,0.432659387588501,4.29050016403198,0.514663755893707,1
"66","BEL00075",120.108329772949,19.8895645141602,51015.046875,8104.85856328489,4958.83280470683,0.461337924003601,3.18553853034973,0.514663755893707,1
"67","BEL00076",6404.63916015625,16.6688690185547,2809.224609375,4408.88430558972,2555.90489983841,0.437918901443482,2.88738465309143,0.514663755893707,0
"68","BEL00077",2837.22241210938,19.7397899627686,10787.7177734375,11427.2136722087,6629.5761685685,0.443807631731033,3.22861528396606,0.514663755893707,1
"69","BGD00002",0,93.5952529907227,116790.625,62.2719525828209,11288.1966898758,0.178219258785248,0.0952307730913162,64.2270202636719,1
"70","BGD00003",47.7061882019043,96.801383972168,28274.740234375,0,14803.9486371447,0.134349033236504,0.0111923078075051,64.2270202636719,0
