"","OBJECTID","n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban"
"544",544,237269.125,119.84607978273,70840.8046875,20,2430.73856221868,0.528307676315308,31.0541248321533,16,0.267455905675888,42,45437.9558001203,0.439999997615814
"545",545,49637.9609375,98.7006493485133,187958.25,17,306.92486623857,0.285884618759155,31.0541248321533,17,0.37394979596138,40,1998.97253713074,1
"546",546,44791.30078125,98.7006493485133,187958.25,17,306.92486623857,0.285884618759155,31.0541248321533,20,0.37394979596138,36,1998.97253713074,1
"547",547,44791.30078125,98.7006493485133,187958.25,17,306.92486623857,0.285884618759155,31.0541248321533,20,0.37394979596138,36,1998.97253713074,1
"548",548,44791.30078125,98.7006493485133,187958.25,17,306.92486623857,0.285884618759155,31.0541248321533,20,0.37394979596138,36,1998.97253713074,1
"549",549,49637.9609375,96.2491849139971,16696.98828125,297,275.796528871955,0.237769231200218,31.0541248321533,18,0.418126463890076,39,1096.8307952074,0.46000000834465
"550",550,50741.13671875,97.8125754318867,12960.8447265625,12,565.934248385901,0.00188461551442742,31.0541248321533,19,0.494949549436569,29,3382.58274375217,0
"551",551,156864.4375,99.5587560455349,30656.744140625,9,6154.41207735926,2.45430779457092,31.0541248321533,16,0.439597696065903,37,14138.4282125416,0
"552",552,156864.4375,99.5587560455349,30656.744140625,9,6154.41207735926,2.45430779457092,31.0541248321533,16,0.439597696065903,37,14138.4282125416,0
"553",553,59534.6328125,104.05433284446,154636.609375,28,3842.56026117543,2.45461535453796,31.0541248321533,16,0.439983189105988,37,8926.87375835336,0
"554",554,19121.4140625,135.967683008643,320662.71875,10,461.657865729938,0.16765384376049,31.0541248321533,20,0.289384573698044,35,4113.06425467622,1
"555",555,54828.890625,101.506950300105,9094.10546875,194,2165.68440403298,0.0205384623259306,31.0541248321533,15,0.772793114185333,39,8268.77548630363,0
"556",556,403844.9375,142.205685758246,50229.46484375,19,214.831007377943,1.82557690143585,31.0541248321533,16,0.282400339841843,45,34795.1257392963,0.569999992847443
"557",557,67358.203125,97.3719266468691,18252.2109375,149,419.743681346201,50.0019989013672,31.0541248321533,14,0.586024463176727,46,4490.69812135553,0
"558",558,6.82692909240723,106.600358177805,0,187,7.74112606649595,0.00461538461968303,31.0541248321533,20,0.130010828375816,42,0.162929821110115,0
"559",559,502290.8125,99.9144454795719,22512.51171875,203,3479.98327044203,0.655230760574341,31.0541248321533,15,0.284602135419846,51,23079.4198662504,0
"560",560,162036.484375,125.259756278758,439790.0625,64,1254.4285447872,2.23288464546204,31.0541248321533,17,0.285601139068604,41,3901.11408031534,1
"561",561,363788.40625,126.10468013201,42617.828125,9,6652.18266959881,0.44361537694931,31.0541248321533,16,0.288213104009628,45,56421.901916366,0.409999996423721
"562",562,72710.7734375,145.695186751217,90865.6796875,8,20323.7043479387,0.184961542487144,31.0541248321533,16,0.30041229724884,43,4587.85594972811,0.829999983310699
"563",563,163308.65625,127.277066696216,138067.375,16,3962.6612481049,0.224615380167961,31.0541248321533,16,0.232734218239784,43,36706.829395139,0.759999990463257
"564",564,142421.3125,146.187181192525,96603.171875,22,824.37333036525,0.585038483142853,31.0541248321533,16,0.261110633611679,43,6361.98220844299,0.879999995231628
"565",565,132118.421875,142.776509754952,96603.171875,120,746.702682240894,0.327153861522675,31.0541248321533,17,0.169563844799995,43,6592.96784357189,0.879999995231628
"566",566,199114.921875,133.233385759876,20522.626953125,7,7310.02696347061,1.34896159172058,31.0541248321533,18,0.308236509561539,44,15177.6087979874,0.550000011920929
"567",567,18211.998046875,126.521201287316,972.242370605469,750,634.204527901982,0.482038468122482,31.0541248321533,18,0.221783757209778,41,1785.62646223018,0
"568",568,317116.1875,131.654186966498,68573.828125,109,5604.05109016783,0.294884622097015,31.0541248321533,18,0.312734544277191,45,14784.7680932774,0.560000002384186
"569",569,317116.1875,131.654186966498,68573.828125,109,5604.05109016783,0.294884622097015,31.0541248321533,18,0.312734544277191,45,14784.7680932774,0.560000002384186
"570",570,16907.158203125,135.606594937521,540807.1875,43,0,0.200769230723381,31.0541248321533,16,0.313024699687958,43,0,1
"571",571,17919.62109375,136.020743578542,881464.8125,43,0,0.200769230723381,31.0541248321533,19,0.313024699687958,42,0,1
"572",572,63476.23046875,142.472499935917,179389.8125,7,623.483245432866,0.318038463592529,31.0541248321533,17,0.307924330234528,42,4879.23060248693,1
"573",573,12833.646484375,123.910092808002,278568.34375,255,523.598218263151,1.02038466930389,31.0541248321533,16,0.268538594245911,46,6452.66306009824,1
"574",574,17919.62109375,137.353573421134,785040.0625,21,0,0.196884617209435,31.0541248321533,19,0.321828246116638,42,0,1
"575",575,33316.80078125,139.166696408266,182326.03125,21,563.298594209457,0.316500008106232,31.0541248321533,16,0.307948499917984,44,25346.6778711285,1
"576",576,18762.533203125,133.414229086128,671959.9375,195,0,0.192423075437546,31.0541248321533,18,0.311791092157364,43,0,1
"577",577,18762.533203125,133.414229086128,671959.9375,195,0,0.192423075437546,31.0541248321533,18,0.311791092157364,43,0,1
"578",578,265549.9375,139.096363329447,53024.453125,88,6867.16960639532,5.81007671356201,31.0541248321533,15,0.278279334306717,47,39315.2052022445,0
"579",579,316923.09375,138.172965319112,32009.49609375,182,6492.76838619933,0.497807681560516,31.0541248321533,15,0.299377769231796,45,33459.4310807741,0
"580",580,230137.4375,137.332412546975,39596.56640625,182,7439.74319212946,0.234423071146011,31.0541248321533,17,0.327688157558441,47,35339.8814038722,0
"581",581,156477.34375,136.006484476359,153457.875,39,4506.16355703301,4.67734622955322,31.0541248321533,17,0.278055101633072,43,16606.3742223248,1
"582",582,21948.2109375,106.919578953699,262564.34375,171,423.037521891369,2.01673078536987,31.0541248321533,14,0.351657867431641,47,3463.27264659897,1
"583",583,465672.53125,126.086330921612,4293.97412109375,509,661.968913450444,2.46076917648315,31.0541248321533,16,0.241276443004608,47,4678.86213925858,0.340000003576279
"584",584,311697.875,136.853279411945,87248.7109375,32,7646.56618253294,0.187730774283409,31.0541248321533,16,0.312124311923981,46,18203.7867472738,0.980000019073486
"585",585,479291.75,137.192035711513,66226.7265625,335,82471.8561455301,3.50123071670532,31.0541248321533,15,0.272261530160904,46,49886.7807860748,0
"586",586,96031.9140625,105.256556624259,471134.34375,179,441.203758436174,1.98742306232452,31.0541248321533,14,0.352531433105469,47,2117.3906884466,1
"587",587,142382.78125,105.736101555315,14732.7041015625,308,291.719439964947,8.41046142578125,31.0541248321533,17,0.261184453964233,44,5884.13565251194,0
"588",588,593796.0625,135.005957484397,15989.0185546875,532,167388.67269074,0.439692318439484,31.0541248321533,16,0.164392232894897,45,31634.8166804327,0
"589",589,398345.9375,136.514599801784,33550.125,39,7869.83299713709,0.199499994516373,31.0541248321533,16,0.281031578779221,46,26173.9375389455,0.409999996423721
"590",590,345718.875,134.75420541332,27618.193359375,88,13367.2905754838,0.314538449048996,31.0541248321533,17,0.23061953485012,42,23625.977680172,0
"591",591,299775.03125,133.191992647773,202150.15625,201,58511.2131851819,1.12899994850159,31.0541248321533,15,0.248369097709656,45,6657.71385511194,1
"592",592,320893.8125,125.147833710097,1701.34680175781,439,643.531621995005,0.531961560249329,31.0541248321533,16,0.17729552090168,46,4312.85307083214,0
"593",593,9.01459884643555,98.352912791363,0,38,1.90427645499721,0.00715384632349014,31.0541248321533,18,0.20372399687767,41,0.18667339224976,0
"594",594,199951.09375,132.131284177162,3643.1982421875,533,43539.353361375,0.373153835535049,31.0541248321533,16,0.191440239548683,47,16694.7716038477,0
